Gene1,Gene2
"Arf1-199390","Efcab6-74819465",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Alg14-75081004","Igsf5-79488939",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Eef1g-74819238","Tfam-67936016",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Inpp4b-72080054","Rcsd1-75934525",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Epha10-73930823","Vwa5a-71836830",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bcl6-75651139","Myc-112194721",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Arhgap39-73992939","Lass4-176962",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Grsf1-73994670","Tmem204-73769320",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Anxa1-70813897","Zfp365-73929873",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"AI593442-71250312","Ldb2-74641311",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Nup93-75774679","Tmem204-73769320",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"C1qtnf5-293664","Tmem204-73769320",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Manea-74882656","Ptgds-79567709",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Csf2rb2-73992937","Dhrs3-112650553",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Pam16-2391","Pmp22-825",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Cyhr1-77414565","Htr2b-79556708",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Accn4-71924089","Pak1-73521001",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Ddit4l-71836878","E130012A19Rik-74363349",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Satb1-79488931","Ublcp1-70634406",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Cryaa-2127","Rln3-73929581",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Cdh24-70231307","Txn2-71670705",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Dhrs3-112650553","Vtn-67752116",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Accn4-71924089","Lass4-176962",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC434368-74819253","Lgi3-73520996",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC434368-74819253","Slc6a7-71016653",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"C1qa-77371775","Lypd6b-73635774",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Cdk5r1-247","Lef1-77866900",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC434236-73615572","Mri1-75773703",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Clic5-77874610","Rgs14-2529",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Rps4y2-75934917","Traip-77887842",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
