Gene1,Gene2
"Grin2b-74988710","Myo10-74743255",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bpgm-77414641","Lims2-75145999",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Slc12a2-74882926","Slc22a23-72128754",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Fhdc1-73925717","Rassf4-74988636",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Myo10-74743255","Susd2-75146000",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"0610010F05Rik-74957923","Cep72-74988742",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dpysl5-73635770","Rgs2-73635771",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Nol4-76115737","Slc22a23-72128754",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gpr151-74724649","N4bp2-74363354",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Chat-252","Dpysl5-73635770",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ero1lb-72340145","Ntf5-1393",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Vsx2-1687","Wbscr17-1934",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cyp26b1-79568022","Vav3-76085746",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Galr2-80517343","Ntf5-1393",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc85a-75081006","LOC434300-75988611",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Egr4-74800827","Ybx2-75080250",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ppapdc1a-74881927","Ppp2r3d-77414925",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Htr2b-79556708","Tacr1-79591721",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cd44-224","Cep72-74988742",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Creb3l1-112197858","Klf7-112202624",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Mylk3-73992942","Pip4k2c-799",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gldc-77887886","Grik4-75551478",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cep72-74988742","Nkd1-74586666",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dbi-71836880","Gdf1-75081205",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Kcng1-77340480","Ybx2-75080250",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Pou2f1-1563","Ppp1r7-832",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Susd2-75146000","Ybx2-75080250",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Chat-252","Rgs2-73635771",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
